question,ideal answer,tags,difficulty
"Walk me through how you would design a URL shortener.","Generate a short key from an auto-increment ID in base62, or hash and handle collisions. Store key to long-URL in a KV store. Redirects are read-heavy so cache aggressively. Should mention custom aliases, expiry, and where analytics are written.",system design,4
"That design gets 100k redirects per second. What breaks first and what do you change?","Reads dominate, so put a CDN and Redis in front; the KV store shards cleanly by key prefix. Redirects tolerate eventual consistency. Separate the write path from the read path. Good answers mention 301 vs 302 and that caching a 301 destroys analytics.",system design;scaling,7
"What is the difference between a process and a thread?","Processes have isolated address spaces; threads share one inside a process. Threads are cheaper to create and switch between. Sharing memory means synchronisation is required. An unhandled fault in one thread can take down the whole process.",operating systems,2
"Explain database indexing, and name a case where adding an index makes things worse.","A B-tree keeps keys sorted with pointers to rows, turning a table scan into a logarithmic lookup. Costs write amplification and storage. Hurts on write-heavy tables, on low-cardinality columns, and when a composite index's leading column is absent from the query so the planner ignores it.",databases,5
"How would you find a cycle in a linked list, and what is the space complexity?","Floyd's tortoise and hare: two pointers at different speeds meet inside a cycle. O(n) time, O(1) space. A hash set of visited nodes also works but costs O(n) space. Strong answers explain why the pointers must meet.",algorithms,3
"What happens, end to end, when you type a URL into a browser and press enter?","DNS resolution, TCP handshake, TLS handshake, HTTP request, server response, then parse, CSSOM and DOM construction, render. Depth matters more than breadth here; look for whichever layer they know well and probe it.",networking;fundamentals,4
"Your service's p99 latency tripled overnight but p50 is unchanged. How do you investigate?","p50 flat means it is not a general slowdown but a tail problem. Candidates: GC pauses, a hot shard, connection pool exhaustion, a slow dependency with a retry storm, cache the tail misses. Look for someone who forms hypotheses and names what evidence would separate them.",debugging;operations,7
"When would you choose eventual consistency over strong consistency?","When availability and partition tolerance matter more than reading the newest value, and the business can tolerate a stale read. Examples: follower counts, timelines, analytics. Not for balances or inventory decrements without compensation. Should reference CAP without reciting it mechanically.",distributed systems,6
"How does HTTPS keep a connection private?","Asymmetric keys exchange a shared symmetric key; the symmetric key encrypts the session because it is far cheaper. Certificates plus a chain of trust to a root CA authenticate the server. Strong answers mention that this proves server identity, not that the server is trustworthy.",security,5
"Describe a time you shipped something that broke in production. What did you do?","Concrete incident, how it was detected, immediate mitigation versus root cause fix, and what changed afterwards so it could not recur. Look for ownership without excessive self-blame, and for a systemic fix rather than 'I was more careful next time'.",behavioural,4
